Job_Listing,Working_Title,Job Control,Salary_Range,Work_Type/Schedule,Department,Location,Publish_Date,Filing_Deadline,URLs
ASSISTANT COORDINATOR OF NURSING SERVICES,"Assistant Coordinator of Nursing Services/CNS-23-08, CNS, Metropolitan State Hospital",395132,$9651.00 - $12086.00,Permanent Fulltime,Department of State Hospitals,Los Angeles County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395132
ASSOCIATE ACCOUNTING ANALYST,Associate Accounting Analyst,402764,$5793.00 - $7256.00,Permanent Fulltime,Department of Transportation,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402764
ASSOCIATE BUDGET ANALYST,Associate Budget Analyst,402874,$5518.00 - $6907.00,Permanent Fulltime,California Health and Human Services Office of Technology and Solutions Integration,Sacramento County,11/9/2023,11/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402874
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Appeals Analyst (Limited-Term) Hybrid Telework,402882,$5518.00 - $6907.00,Limited Term Fulltime,Covered California,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402882
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA,402818,$5518.00 - $6907.00,Permanent Fulltime,Department of Child Support Services,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402818
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402821,$5518.00 - $6907.00,Permanent Fulltime,Department of Social Services,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402821
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Fiscal Analyst,402838,$5518.00 - $6907.00,Permanent Fulltime,Department of Public Health,Contra Costa County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402838
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,VECTOR SOLUTIONS - ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,402756,$5518.00 - $6907.00,Permanent Fulltime,Department of Forestry & Fire Protection,Amador County,11/9/2023,11/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402756
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst - California Institution for Women (CIW),402797,$5518.00 - $6907.00,Limited Term Fulltime,California Correctional Health Care Services,San Bernardino County,11/9/2023,11/29/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402797
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Public Agency Billing Analyst,402801,$5518.00 - $6907.00,Permanent Fulltime,Public Employees Retirement System,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402801
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402728,$5518.00 - $7116.00,Permanent Fulltime,California Correctional Health Care Services,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402728
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Regulations Analyst,402723,$5518.00 - $6907.00,Permanent Fulltime,Department of Public Health,Contra Costa County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402723
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA,402726,$5518.00 - $6907.00,Permanent Fulltime,Department of Child Support Services,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402726
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst (SOCIAL WORK DEPT - IST),402717,$5518.00 - $6907.00,Permanent Fulltime,Department of State Hospitals,Napa County,11/9/2023,12/6/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402717
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA- RAC - Folsom State Prison,402750,$5518.00 - $6907.00,Limited Term Fulltime,Folsom State Prison,Sacramento County,11/9/2023,11/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402750
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Injury and Illness Prevention Coordinator,402663,$5518.00 - $6907.00,Permanent Fulltime,Department of State Hospitals,San Bernardino County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402663
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402672,$5684.00 - $7114.00,Permanent Fulltime,California Correctional Health Care Services,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402672
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402689,$5518.00 - $6907.00,Permanent Fulltime,State Water Resources Control Board,Sacramento County,11/9/2023,11/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402689
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402707,$5518.00 - $6907.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,11/9/2023,11/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402707
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Fiscal Analyst,402631,$5518.00 - $6907.00,Permanent Fulltime,Department of Public Health,Sacramento County,11/9/2023,12/5/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402631
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Senior Grants Management Analyst,402647,$5518.00 - $6907.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402647
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Data Analyst,402229,$5518.00 - $7116.00,Permanent Fulltime,Department of Motor Vehicles,United States,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402229
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Disability Services Senior Analyst/Disability Case Management Analyst,402395,$5518.00 - $6907.00,Permanent Fulltime,State Teachers' Retirement System,Yolo County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402395
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402572,$5518.00 - $6907.00,Permanent Fulltime,Department of Veterans Affairs,Alameda County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402572
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Performance Management Consultant,396004,$5518.00 - $6907.00,Permanent Fulltime,Public Employees Retirement System,Sacramento County,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396004
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402582,$5518.00 - $7116.00,Permanent Fulltime,Department of Veterans Affairs,Sacramento County,11/9/2023,11/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402582
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,402584,$5518.00 - $6907.00,Limited Term Fulltime,State Controller's Office,Sacramento County,11/9/2023,11/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402584
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA - Plant Operations- Folsom State Prison,401980,$5518.00 - $6907.00,Permanent Fulltime,Folsom State Prison,Sacramento County,11/9/2023,11/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=401980
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Telematics Analyst,388242,$5518.00 - $6907.00,Limited Term Fulltime,Department of Transportation,Sacramento County,11/9/2023,11/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=388242
ASSOCIATE MANAGEMENT AUDITOR,Associate Management Auditor (AMA),402803,$6082.00 - $7998.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402803
ASSOCIATE PERSONNEL ANALYST,Classification and Pay Analyst,400305,$5518.00 - $6907.00,Permanent Fulltime,Department of Conservation,Sacramento County,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=400305
ASSOCIATE TELECOMMUNICATIONS ENGINEER,Telecommunications Engineer,402489,$9244.00 - $11567.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402489
ASSOCIATE TELECOMMUNICATIONS ENGINEER,Associate Telecommunications Engineer,402526,$9244.00 - $11567.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402526
ASSOCIATE TRANSPORTATION PLANNER,ASSOCIATE TRANSPORTATION PLANNER,402227,$6387.00 - $7999.00,Permanent Fulltime,Department of Transportation,San Bernardino County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402227
ASSOCIATE TRANSPORTATION PLANNER,Complete Streets Coordinator,402714,$6387.00 - $7999.00,Permanent Fulltime,Department of Transportation,Shasta County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402714
ATTORNEY,Attorney,402720,$7737.00 - $11173.00,Permanent Fulltime,State Compensation Insurance Fund,Alameda County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402720
ATTORNEY,Attorney,402737,$7737.00 - $11173.00,Permanent Fulltime,State Compensation Insurance Fund,Monterey County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402737
ATTORNEY,Attorney,402741,$7737.00 - $11173.00,Permanent Fulltime,State Compensation Insurance Fund,Santa Clara County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402741
ATTORNEY III,Staff Attorney for the State Labor Commissioner,402381,$10536.00 - $13526.00,Permanent Fulltime,Department of Industrial Relations,United States,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402381
AUDITOR I,Auditor I Multi-Disciplinary North Section,402500,$3895.00 - $5125.00,Permanent Fulltime,Department of Health Care Services,Sacramento County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402500
BUSINESS SERVICE OFFICER I (SUPERVISOR),Business Service Officer I (Supervisor),402747,$4968.00 - $6149.00,Permanent Fulltime,Department of Education,Sacramento County,11/9/2023,11/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402747
C. E. A.,"Senior Assistant Chief Counsel, Health Care Delivery Systems Branch (CEA B)",402357,$11102.00 - $16932.00,Non-Tenured Fulltime,Department of Health Care Services,United States,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402357
CALTRANS HIGHWAY MAINTENANCE LEADWORKER,Caltrans Highway Maintenance Leadworker,401559,$4779.00 - $6011.00,Permanent Fulltime,Department of Transportation,Yuba County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=401559
CALTRANS HIGHWAY MAINTENANCE WORKER,CALTRANS HIGHWAY MAINTENANCE WORKER,400095,$3830.00 - $4366.00,Permanent Intermittent,Department of Transportation,Los Angeles County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=400095
CASE RECORDS TECHNICIAN,Case Records Technician- Folsom State Prison,402734,$3002.00 - $4351.00,Limited Term Fulltime,Folsom State Prison,Sacramento County,11/9/2023,11/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402734
CERTIFIED NURSING ASSISTANT,CERTIFIED NURSING ASSISTANT - California Health Care Facility,402888,$3103.00 - $3885.00,Permanent Fulltime,California Correctional Health Care Services,San Joaquin County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402888
"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)","CHIEF PSYCHIATRIST, CALIFORNIA INSTITUTION FOR WOMEN (CIW)",402783,$26176.00 - $32444.00,Permanent Fulltime,California Correctional Health Care Services,San Bernardino County,11/9/2023,11/29/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402783
COASTAL PROGRAM ANALYST III,Principal Shoreline Development Analyst,402579,$6706.00 - $8399.00,Permanent Fulltime,San Francisco Bay Conservation & Development Commission,San Francisco County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402579
COMMERCIAL VEHICLE INSPECTION SPECIALIST,Commercial Vehicle Inspection Specialist,402773,$3830.00 - $5494.00,Permanent Fulltime,California Highway Patrol,Shasta County,11/9/2023,11/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402773
COMMERCIAL VEHICLE INSPECTION SPECIALIST,Commercial Vehicle Inspection Specialist,402825,$3830.00 - $5494.00,Permanent Fulltime,California Highway Patrol,Siskiyou County,11/9/2023,11/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402825
"COMPLIANCE OFFICER , HEALTH FACILITIES CONSTRUCTION","Compliance Officer, HFC",402705,$10015.00 - $12538.00,Permanent Fulltime,Department of Health Care Access and Information,Sacramento County,11/9/2023,11/29/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402705
CONSERVATIONIST I,Crew Supervisor,322247,$3212.00 - $5102.00,Permanent Fulltime,CA Conservation Corps,Humboldt County,11/9/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=322247
COOK SPECIALIST I,Cook Specialist I,402144,$3343.00 - $4096.00,Permanent Fulltime,Department of Forestry & Fire Protection,Humboldt County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402144
COOK SPECIALIST II,Cook Specialist II,402171,$3695.00 - $4537.00,Permanent Fulltime,Department of Forestry & Fire Protection,Humboldt County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402171
CORRECTIONAL COUNSELOR I,CORRECTIONAL COUNSELOR I,384671,$6993.00 - $10159.00,Limited Term Fulltime,California Medical Facility,Solano County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=384671
CORRECTIONAL LIEUTENANT,Senior Background Investigator,402650,$8412.00 - $11247.00,Permanent Fulltime,Peace Officer Selection and Employee Development,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402650
CORRECTIONAL OFFICER,Correctional Officer at CC#31 Eel River,402676,$6699.00 - $8422.00,Limited Term Fulltime,Sierra Conservation Center,Humboldt County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402676
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),Correctional Supervising Cook (Correctional Facility),373582,$3996.00 - $4916.00,Permanent Fulltime,Pelican Bay State Prison,Del Norte County,11/9/2023,11/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=373582
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),"Correctional Supervising Cook,CF - California State Prison-Los Angeles County (LAC)",382353,$799.20 - $983.20,Permanent Part-time,California Correctional Health Care Services,Los Angeles County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=382353
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),"Correctional Supervising Cook, Correctional Facility - High Desert State Prison",390569,$3996.00 - $4916.00,Permanent Fulltime,California Correctional Health Care Services,Lassen County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390569
CRIME ANALYST I,Crime Analyst I,402115,$3717.00 - $5474.00,Permanent Fulltime,Department of Justice,Sacramento County,11/9/2023,11/29/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402115
CRIME ANALYST I,Crime Analyst I,402121,$3717.00 - $5474.00,Permanent Fulltime,Department of Justice,Sacramento County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402121
CUSTODIAN I,Custodian I - Valley State Prison,402575,$16.88 - $21.13,Permanent Intermittent,Prison Industry Authority,Madera County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402575
CUSTODIAN I,Custodian,402640,$2926.00 - $3663.00,Permanent Fulltime,Department of State Hospitals,San Bernardino County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402640
CUSTODIAN I,Custodian I,402817,$2926.00 - $3663.00,Permanent Fulltime,Department of General Services,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402817
CUSTODIAN I,Custodian I,402806,$2926.00 - $3663.00,Permanent Fulltime,Department of General Services,Sacramento County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402806
"DENTAL ASSISTANT, CORRECTIONAL FACILITY","Dental Assistant, Correctional Facility - Chuckawalla Valley State Prison (CVSP)",394426,$3548.00 - $6562.00,Limited Term Fulltime,California Correctional Health Care Services,Riverside County,11/9/2023,11/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=394426
DEPUTY ATTORNEY GENERAL SUPERVISOR,Supervising Deputy Solicitor General,400175,$12818.00 - $16470.00,Permanent Fulltime,Department of Justice,United States,11/9/2023,12/8/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=400175
DISABILITY EVALUATION SERVICES ADMINISTRATOR I,PROGRAM SUPPORT BUREAU CHIEF,402548,$6563.00 - $8153.00,Permanent Fulltime,Department of Social Services,Los Angeles County,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402548
DISABILITY INSURANCE PROGRAM REPRESENTATIVE,Disability Insurance Services Representative,401946,$3534.00 - $5500.00,Permanent Fulltime,Employment Development Department,Fresno County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=401946
"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY",District Sales Representative,402508,$4431.00 - $5545.00,Permanent Intermittent,CA State Lottery,Contra Costa County,11/9/2023,11/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402508
"DIVISION CHIEF, CALIFORNIA STA","Chief, Fire and Life Safety",402446,$10063.00 - $11983.00,Permanent Fulltime,Department of Forestry & Fire Protection,United States,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402446
EMPLOYMENT PROGRAM REPRESENTATIVE,Workforce Services Program Representative,402869,$3534.00 - $5500.00,Permanent Fulltime,Employment Development Department,San Benito County,11/9/2023,11/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402869
EMPLOYMENT PROGRAM REPRESENTATIVE,Employment Program Representative,402791,$3534.00 - $5500.00,Permanent Fulltime,Employment Development Department,San Diego County,11/9/2023,11/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402791
ENERGY COMMISSION SPECIALIST I (TECH EVALUATION AND DEVELOPMENT),Outreach & Engagement Specialist,402713,$6512.00 - $8093.00,Permanent Fulltime,California Energy Commission,Sacramento County,11/9/2023,11/29/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402713
ENVIRONMENTAL SCIENTIST,Environmental Scientist-Limited Term,402802,$4145.00 - $7926.00,Limited Term Fulltime,Department of Fish and Wildlife,Siskiyou County,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402802
ENVIRONMENTAL SCIENTIST,Environmental Scientist-Limited Term,402809,$4145.00 - $7926.00,Limited Term Fulltime,Department of Fish and Wildlife,Shasta County,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402809
ENVIRONMENTAL SCIENTIST,Environmental Scientist-Limited Term,402010,$4145.00 - $7926.00,Limited Term Fulltime,Department of Fish and Wildlife,United States,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402010
ENVIRONMENTAL SCIENTIST,Environmental Scientist,392720,$4145.00 - $7926.00,Permanent Fulltime,Department of Fish and Wildlife,Imperial County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392720
ENVIRONMENTAL SCIENTIST,Environmental Scientist,392674,$4145.00 - $7926.00,Permanent Fulltime,Department of Fish and Wildlife,Riverside County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392674
EXECUTIVE SECRETARY I,Executive Secretary I – Telework Hybrid,402660,$3786.00 - $4885.00,Permanent Fulltime,Department of Motor Vehicles,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402660
